[DEBUG] [2021-01-21 12:01:59] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 3efa047ce3ee41599576fad77f2ae215, msgType : 19
[DEBUG] [2021-01-21 12:02:01] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 6e15ef05d8264f9eb25ea3fe26f4f1a9, msgType : 19
[DEBUG] [2021-01-21 12:02:01] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 9906a7fddb4a4c5fb7fa20cbcedc00d3, msgType : 19
[DEBUG] [2021-01-21 12:02:03] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 43ea9a314c284578aff88d7c16b3c9d7, msgType : 19
[DEBUG] [2021-01-21 12:02:03] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : fd71539c18db4e5fb80f4df1b350bbd5, msgType : 19
[DEBUG] [2021-01-21 12:02:03] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : dbe6adb28da14550b55a9a586eb40d54, msgType : 18
[DEBUG] [2021-01-21 12:02:03] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : f117d26e03c6440283a9d9c88470921c, msgType : 18
[DEBUG] [2021-01-21 12:02:05] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 3ddac00a74314ae4a9f5df3040dc81dd, msgType : 19
[DEBUG] [2021-01-21 12:02:05] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 2cf7bc679bb54182a638852894f413b6, msgType : 19
[DEBUG] [2021-01-21 12:02:07] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 6137e14879594aa2b6ecaaedf0fc43fe, msgType : 19
